本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 13/40 盘：卡罗康式，白方 v4，黑方 material =====
4. material：Nxe4 | 深度 4 | 5.00 秒
4... v4：a5 | 深度 4 | 5.00 秒
5. material：Nf3 | 深度 3 | 5.00 秒
5... v4：Nf6 | 深度 4 | 5.00 秒
6. material：Nxf6+ | 深度 4 | 5.00 秒
6... v4：gxf6 | 深度 4 | 5.00 秒
7. material：c3 | 深度 4 | 5.00 秒
7... v4：Rg8 | 深度 4 | 5.00 秒
8. material：Bd3 | 深度 4 | 5.00 秒
8... v4：Rxg2 | 深度 4 | 5.00 秒
9. material：Bxh7 | 深度 3 | 5.00 秒
9... v4：Bg4 | 深度 4 | 5.00 秒
10. material：h3 | 深度 3 | 5.00 秒
10... v4：Bh5 | 深度 4 | 5.00 秒
11. material：h4 | 深度 3 | 5.00 秒
11... v4：Qd6 | 深度 3 | 5.00 秒
12. material：Be3 | 深度 3 | 5.00 秒
12... v4：Qd5 | 深度 4 | 5.00 秒
13. material：Bd3 | 深度 4 | 5.00 秒
13... v4：Bxf3 | 深度 3 | 5.00 秒
14. material：Qb3 | 深度 4 | 5.00 秒
14... v4：Qxb3 | 深度 4 | 5.00 秒
15. material：axb3 | 深度 4 | 5.00 秒
15... v4：Rg8 | 深度 4 | 5.00 秒
16. material：Rh3 | 深度 4 | 5.00 秒
16... v4：Rg1+ | 深度 5 | 4.61 秒
17. material：Kd2 | 深度 5 | 2.20 秒
17... v4：Rxa1 | 深度 5 | 4.84 秒
18. material：Rxf3 | 深度 5 | 3.40 秒
18... v4：a4 | 深度 4 | 5.00 秒
19. material：bxa4 | 深度 5 | 4.47 秒
19... v4：R8xa4 | 深度 4 | 5.00 秒
20. material：h5 | 深度 4 | 5.00 秒
20... v4：R1a2 | 深度 4 | 5.00 秒
21. material：Kc1 | 深度 4 | 5.00 秒
21... v4：Ra1+ | 深度 4 | 5.00 秒
22. material：Kc2 | 深度 5 | 2.92 秒
22... v4：Nd7 | 深度 4 | 5.00 秒
23. material：Rf4 | 深度 4 | 5.00 秒
23... v4：e6 | 深度 4 | 5.00 秒
24. material：Bh7 | 深度 4 | 5.00 秒
24... v4：Ra5 | 深度 4 | 5.00 秒
25. material：Rh4 | 深度 4 | 5.00 秒
25... v4：Nb6 | 深度 4 | 5.00 秒
26. material：Kb3 | 深度 4 | 5.00 秒
26... v4：Rb5+ | 深度 4 | 5.00 秒
27. material：Kc2 | 深度 4 | 5.00 秒
27... v4：Nc4 | 深度 4 | 5.00 秒
28. material：Bc1 | 深度 4 | 5.00 秒
28... v4：Ra2 | 深度 4 | 5.00 秒
29. material：Bd3 | 深度 4 | 5.00 秒
29... v4：Rbxb2+ | 深度 4 | 5.00 秒
30. material：Bxb2 | 深度 5 | 1.48 秒
30... v4：Rxb2+ | 深度 5 | 3.14 秒
31. material：Kc1 | 深度 5 | 1.73 秒
31... v4：Ba3 | 深度 5 | 3.20 秒
32. material：Bxc4 | 深度 5 | 3.25 秒
32... v4：Rxf2+ | 深度 5 | 3.02 秒
33. material：Kb1 | 深度 5 | 1.45 秒
33... v4：Ke7 | 深度 4 | 5.00 秒
34. material：h6 | 深度 5 | 2.62 秒
34... v4：b5 | 深度 4 | 5.00 秒
35. material：h7 | 深度 5 | 1.47 秒
35... v4：Rb2+ | 深度 5 | 1.97 秒
36. material：Ka1 | 深度 5 | 0.69 秒
36... v4：bxc4 | 深度 5 | 2.90 秒
37. material：h8=Q | 深度 5 | 2.29 秒
37... v4：Rf2 | 深度 5 | 3.19 秒
38. material：Qa8 | 深度 4 | 5.00 秒
38... v4：Bd6 | 深度 5 | 1.25 秒
39. material：Qb7+ | 深度 4 | 5.00 秒
39... v4：Kf8 | 深度 5 | 0.77 秒
40. material：Qxc6 | 深度 4 | 5.00 秒
40... v4：Rf1+ | 深度 5 | 1.23 秒
41. material：Kb2 | 深度 5 | 2.19 秒
41... v4：Rf2+ | 深度 5 | 0.98 秒
42. material：Kc1 | 深度 5 | 3.10 秒
42... v4：Ba3+ | 深度 5 | 1.72 秒
43. material：Kb1 | 深度 5 | 1.93 秒
43... v4：Rf1+ | 深度 5 | 1.64 秒
44. material：Ka2 | 深度 5 | 2.66 秒
44... v4：Bc1 | 深度 5 | 1.82 秒
