本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 3/40 盘：后翼弃兵发展，白方 v4，黑方 material =====
105... material：Kh1 | 深度 5 | 3.11 秒
106. v4：Kc6 | 深度 5 | 1.53 秒
106... material：Kh2 | 深度 5 | 3.14 秒
107. v4：Kc5 | 深度 5 | 1.76 秒
107... material：Kh1 | 深度 5 | 3.22 秒
108. v4：Kc6 | 深度 5 | 1.66 秒
108... material：Kg1 | 深度 5 | 3.11 秒
109. v4：Kc5 | 深度 5 | 2.02 秒
109... material：Kh2 | 深度 5 | 4.37 秒
110. v4：Kd5 | 深度 5 | 0.98 秒
110... material：Kg2 | 深度 5 | 3.15 秒
111. v4：Kc5 | 深度 5 | 1.14 秒
111... material：Rh3 | 深度 4 | 5.00 秒
112. v4：Kc4 | 深度 5 | 1.54 秒
112... material：Rf3 | 深度 4 | 5.00 秒
113. v4：Kd5 | 深度 5 | 1.50 秒
113... material：Rf4 | 深度 5 | 4.27 秒
114. v4：Kc5 | 深度 5 | 1.57 秒
114... material：Kf2 | 深度 5 | 4.08 秒
115. v4：Kd5 | 深度 5 | 0.84 秒
115... material：Rf3 | 深度 5 | 3.76 秒
116. v4：Kc5 | 深度 5 | 1.64 秒
116... material：Kg3 | 深度 5 | 4.91 秒
