本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 15/40 盘：斯拉夫式，白方 v4，黑方 material =====
49. material：Ke2 | 深度 5 | 0.94 秒
49... v4：Nxg3+ | 深度 5 | 4.63 秒
50. material：hxg3 | 深度 5 | 1.22 秒
50... v4：Rc2+ | 深度 5 | 2.26 秒
51. material：Ke1 | 深度 5 | 1.45 秒
51... v4：Rfc4 | 深度 5 | 4.32 秒
52. material：Bf1 | 深度 5 | 3.41 秒
52... v4：Rb4 | 深度 5 | 3.80 秒
53. material：Re7+ | 深度 5 | 4.08 秒
53... v4：Kb6 | 深度 5 | 1.35 秒
54. material：Be2 | 深度 4 | 5.00 秒
54... v4：Rb1+ | 深度 5 | 4.20 秒
55. material：Kf2 | 深度 5 | 1.44 秒
55... v4：Rbb2 | 深度 5 | 4.38 秒
56. material：Ke1 | 深度 5 | 2.94 秒
56... v4：b4 | 深度 4 | 5.00 秒
57. material：Kd1 | 深度 5 | 5.00 秒
57... v4：Rc3 | 深度 5 | 2.83 秒
58. material：g4 | 深度 5 | 2.78 秒
58... v4：Rb1+ | 深度 5 | 2.91 秒
59. material：Kd2 | 深度 5 | 0.50 秒
59... v4：Rb2+ | 深度 5 | 2.77 秒
60. material：Kd1 | 深度 5 | 0.93 秒
60... v4：Rb1+ | 深度 5 | 4.79 秒
61. material：Kd2 | 深度 5 | 0.53 秒
61... v4：Rxh3 | 深度 5 | 3.52 秒
62. material：Rxf7 | 深度 5 | 2.00 秒
62... v4：Rb2+ | 深度 5 | 2.21 秒
63. material：Ke1 | 深度 5 | 1.06 秒
63... v4：Rh1+ | 深度 5 | 3.16 秒
64. material：Rf1 | 深度 5 | 0.76 秒
64... v4：Rb1+ | 深度 5 | 2.63 秒
65. material：Kf2 | 深度 5 | 0.28 秒
65... v4：Rhxf1+ | 深度 5 | 1.93 秒
66. material：Bxf1 | 深度 5 | 0.52 秒
66... v4：Rd1 | 深度 5 | 3.04 秒
67. material：Be2 | 深度 5 | 0.48 秒
67... v4：Rd2 | 深度 5 | 2.96 秒
68. material：Ke3 | 深度 5 | 0.35 秒
68... v4：Rc2 | 深度 5 | 1.40 秒
69. material：Bd3 | 深度 5 | 0.60 秒
69... v4：Rg2 | 深度 5 | 2.88 秒
70. material：Be2 | 深度 5 | 0.76 秒
70... v4：b3 | 深度 5 | 1.39 秒
71. material：Bd3 | 深度 5 | 2.69 秒
71... v4：b2 | 深度 5 | 2.69 秒
72. material：Ke4 | 深度 5 | 4.45 秒
72... v4：Rd2 | 深度 5 | 1.87 秒
73. material：Bb1 | 深度 5 | 0.52 秒
73... v4：Rd1 | 深度 5 | 1.66 秒
74. material：Bc2 | 深度 5 | 1.74 秒
74... v4：Rc1 | 深度 5 | 4.33 秒
75. material：Kd3 | 深度 5 | 1.06 秒
75... v4：b1=Q | 深度 5 | 3.15 秒
76. material：Bxb1 | 深度 5 | 0.23 秒
76... v4：Rxb1 | 深度 5 | 1.39 秒
77. material：Ke2 | 深度 5 | 0.72 秒
77... v4：Rg1 | 深度 5 | 2.05 秒
78. material：Kf3 | 深度 5 | 0.21 秒
78... v4：Kc5 | 深度 5 | 1.35 秒
79. material：Ke4 | 深度 5 | 0.19 秒
79... v4：Rxg4+ | 深度 5 | 1.24 秒
80. material：Kf3 | 深度 5 | 0.22 秒
80... v4：Rd4 | 深度 5 | 1.18 秒
81. material：Ke3 | 深度 5 | 0.21 秒
81... v4：Kc4 | 深度 5 | 1.72 秒
82. material：Ke2 | 深度 5 | 0.17 秒
82... v4：Rf4 | 深度 5 | 2.57 秒
83. material：Ke3 | 深度 5 | 0.18 秒
83... v4：Kc3 | 深度 5 | 1.37 秒
84. material：Ke2 | 深度 5 | 0.19 秒
84... v4：g4 | 深度 5 | 1.79 秒
85. material：Ke3 | 深度 5 | 0.23 秒
85... v4：g3 | 深度 5 | 1.04 秒
86. material：Kxf4 | 深度 5 | 0.10 秒
86... v4：g2 | 深度 5 | 0.24 秒
87. material：Ke3 | 深度 5 | 0.13 秒
87... v4：g1=Q+ | 深度 5 | 0.74 秒
88. material：Ke2 | 深度 5 | 0.29 秒
88... v4：Qg3 | 深度 5 | 2.93 秒
89. material：Kf1 | 深度 5 | 0.42 秒
89... v4：Qh2 | 深度 5 | 3.39 秒
90. material：Ke1 | 深度 5 | 0.36 秒
90... v4：Qg2 | 深度 5 | 3.30 秒
91. material：Kd1 | 深度 5 | 0.39 秒
91... v4：Qf1# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_08.zip

===== 比赛结束 =====
v4获胜： 1
material获胜： 0
和棋： 0
达到步数上限未结束： 1
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v4_material40_games\20260908_191019_049803\pair_08
