本次candidate： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU1线程，每步5秒、深度上限5。

===== 第 3/20 盘：后翼弃兵发展，白方 candidate，黑方 material =====
108... candidate：Kb3 | 深度 5 | 4.27 秒
109. material：Qg4 | 深度 4 | 5.00 秒
109... candidate：Kc2 | 深度 4 | 5.00 秒
110. material：Qgg7 | 深度 4 | 5.00 秒
110... candidate：Kb3 | 深度 5 | 4.11 秒
111. material：Qg4 | 深度 4 | 5.00 秒
111... candidate：Kc2 | 深度 4 | 5.00 秒
112. material：Qh4 | 深度 4 | 5.00 秒
112... candidate：Kb3 | 深度 5 | 4.39 秒
113. material：Qh7 | 深度 4 | 5.00 秒
113... candidate：Kc4 | 深度 4 | 5.00 秒
114. material：Qc5+ | 深度 4 | 5.00 秒
114... candidate：Kb3 | 深度 5 | 4.99 秒
115. material：Qhc2# | 深度 0 | 0.00 秒
本盘结果：1-0，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_02.zip

===== 比赛结束 =====
价值版获胜： 0
子力版获胜： 1
和棋： 0
达到步数上限未结束： 1
棋谱与搜索记录： C:\Users\maxw\chess_ai\full_arena_games\20260908_114659_639735\pair_02
