本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 17/20 盘：王印式，白方 v4，黑方 v3 =====
78... v4：Bd8 | 深度 5 | 1.93 秒
79. v3：Kg6 | 深度 5 | 1.58 秒
79... v4：Kb6 | 深度 5 | 1.33 秒
80. v3：Bc4 | 深度 5 | 4.99 秒
80... v4：Kc5 | 深度 5 | 0.99 秒
81. v3：Be6 | 深度 4 | 5.00 秒
81... v4：Kc6 | 深度 5 | 2.10 秒
82. v3：Kf7 | 深度 5 | 4.73 秒
82... v4：Kc7 | 深度 5 | 1.59 秒
83. v3：Ke8 | 深度 5 | 2.70 秒
83... v4：Bf6 | 深度 5 | 0.56 秒
84. v3：Bf7 | 深度 5 | 3.75 秒
84... v4：Bd8 | 深度 5 | 0.52 秒
85. v3：Bg6 | 深度 5 | 2.84 秒
85... v4：Bf6 | 深度 5 | 0.40 秒
86. v3：Bf7 | 深度 5 | 3.56 秒
86... v4：Bd8 | 深度 5 | 0.52 秒
87. v3：Bg6 | 深度 5 | 2.64 秒
87... v4：Bf6 | 深度 5 | 0.33 秒
88. v3：Bf5 | 深度 5 | 3.21 秒
88... v4：Bd8 | 深度 5 | 0.42 秒
89. v3：Be6 | 深度 5 | 2.78 秒
89... v4：Bf6 | 深度 5 | 0.50 秒
90. v3：Bg8 | 深度 5 | 3.35 秒
90... v4：Bd8 | 深度 5 | 0.44 秒
91. v3：f5 | 深度 5 | 2.18 秒
91... v4：Bf6 | 深度 5 | 0.56 秒
92. v3：Bf7 | 深度 5 | 3.42 秒
92... v4：Bd8 | 深度 5 | 0.70 秒
93. v3：Bh5 | 深度 5 | 2.71 秒
93... v4：Bg5 | 深度 5 | 0.43 秒
94. v3：Bf7 | 深度 5 | 2.48 秒
94... v4：Bf6 | 深度 5 | 0.64 秒
95. v3：Bh5 | 深度 5 | 3.56 秒
95... v4：Bg5 | 深度 5 | 0.50 秒
96. v3：Bf7 | 深度 5 | 2.35 秒
96... v4：Bf6 | 深度 5 | 0.60 秒
97. v3：Bg8 | 深度 5 | 3.01 秒
97... v4：Bg5 | 深度 5 | 0.56 秒
98. v3：Bh7 | 深度 5 | 2.75 秒
98... v4：Bf6 | 深度 5 | 0.38 秒
99. v3：Bg8 | 深度 5 | 0.94 秒
99... v4：Bg5 | 深度 5 | 0.56 秒
100. v3：Bh7 | 深度 5 | 2.52 秒
100... v4：Bf6 | 深度 5 | 0.32 秒
101. v3：Kf7 | 深度 5 | 0.71 秒
101... v4：Bg5 | 深度 5 | 0.72 秒
102. v3：Ke6 | 深度 5 | 0.96 秒
102... v4：Kd8 | 深度 5 | 0.95 秒
103. v3：f6 | 深度 5 | 1.48 秒
103... v4：Bxf6 | 深度 5 | 0.76 秒
104. v3：Kxf6 | 深度 5 | 0.77 秒
104... v4：Kxd7 | 深度 5 | 0.23 秒
105. v3：Kg5 | 深度 5 | 1.12 秒
105... v4：Ke6 | 深度 5 | 0.32 秒
106. v3：Be4 | 深度 5 | 1.65 秒
106... v4：Ke5 | 深度 5 | 0.46 秒
107. v3：Bb7 | 深度 5 | 2.24 秒
107... v4：Kd4 | 深度 5 | 0.25 秒
108. v3：Kxh4 | 深度 5 | 3.18 秒
108... v4：Ke5 | 深度 5 | 0.46 秒
109. v3：Kg5 | 深度 5 | 4.16 秒
109... v4：Kd4 | 深度 5 | 0.31 秒
110. v3：Bc8 | 深度 4 | 5.00 秒
110... v4：Kc3 | 深度 5 | 0.67 秒
111. v3：Kg6 | 深度 4 | 5.00 秒
111... v4：Kb3 | 深度 5 | 0.65 秒
112. v3：h4 | 深度 4 | 5.00 秒
112... v4：Kc2 | 深度 5 | 0.54 秒
113. v3：h5 | 深度 5 | 4.39 秒
113... v4：Kd3 | 深度 5 | 0.72 秒
114. v3：h6 | 深度 5 | 1.96 秒
114... v4：Ke2 | 深度 5 | 0.41 秒
115. v3：h7 | 深度 5 | 1.01 秒
115... v4：Kd1 | 深度 5 | 1.15 秒
116. v3：h8=Q | 深度 5 | 3.59 秒
116... v4：Ke2 | 深度 5 | 1.68 秒
117. v3：Bg4+ | 深度 4 | 5.00 秒
117... v4：Kd3 | 深度 5 | 3.12 秒
118. v3：Bf5+ | 深度 4 | 5.00 秒
118... v4：Kc4 | 深度 5 | 2.59 秒
119. v3：Qh6 | 深度 4 | 5.00 秒
119... v4：Kd5 | 深度 5 | 2.08 秒
120. v3：Kf6 | 深度 4 | 5.00 秒
120... v4：Kd6 | 深度 5 | 2.45 秒
本盘结果：*，原因：move_limit_unfinished
结果压缩包： C:\Users\maxw\chess_ai\arena_v3_v4_games\20260908_145249_016569\pair_09.zip

===== 比赛结束 =====
v4获胜： 1
v3获胜： 0
和棋： 0
达到步数上限未结束： 1
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v3_v4_games\20260908_145249_016569\pair_09
