本次v4： C:\Users\maxw\chess_ai\value_full_runs\20260908_113914_349502\value_full_epoch2.pt
交换颜色两局；双方CPU4线程，每步5秒、深度上限5。
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1006: FutureWarning: `torch.jit.trace` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_trace.py:1145: FutureWarning: `torch.jit.trace_method` is deprecated. Please switch to `torch.compile` or `torch.export`.
  warnings.warn(
C:\Users\maxw\chess_ai\.venv\Lib\site-packages\torch\jit\_freeze.py:106: FutureWarning: `torch.jit.freeze` is deprecated. Please use `torch.compile` instead.
  warnings.warn(

===== 第 19/20 盘：苏格兰式，白方 v4，黑方 v3 =====
22... v4：Rf2 | 深度 4 | 5.00 秒
23. v3：d6 | 深度 4 | 5.00 秒
23... v4：Rf4 | 深度 4 | 5.00 秒
24. v3：Rd4 | 深度 4 | 5.00 秒
24... v4：g6 | 深度 4 | 5.00 秒
25. v3：Rc4 | 深度 3 | 5.00 秒
25... v4：Be6 | 深度 4 | 5.00 秒
26. v3：Rd4 | 深度 4 | 5.00 秒
26... v4：Rc8+ | 深度 4 | 5.00 秒
27. v3：Kb1 | 深度 4 | 5.00 秒
27... v4：Rd8 | 深度 4 | 5.00 秒
28. v3：Rhd1 | 深度 3 | 5.00 秒
28... v4：Rxe4 | 深度 4 | 5.00 秒
29. v3：Rxe4 | 深度 5 | 3.51 秒
29... v4：Bf5 | 深度 5 | 2.20 秒
30. v3：Rd4 | 深度 5 | 4.45 秒
30... v4：Re8 | 深度 5 | 4.74 秒
31. v3：d7 | 深度 5 | 0.90 秒
31... v4：Rd8 | 深度 5 | 0.45 秒
32. v3：Ka2 | 深度 5 | 3.64 秒
32... v4：Bxe4 | 深度 5 | 0.76 秒
33. v3：Rxe4 | 深度 5 | 2.24 秒
33... v4：Rxd7 | 深度 5 | 0.85 秒
34. v3：Re8+ | 深度 4 | 5.00 秒
34... v4：Kg7 | 深度 5 | 1.01 秒
35. v3：Rb8 | 深度 4 | 5.00 秒
35... v4：a6 | 深度 5 | 3.11 秒
36. v3：h4 | 深度 4 | 5.00 秒
36... v4：Rd4 | 深度 5 | 3.68 秒
37. v3：Kb3 | 深度 5 | 2.08 秒
37... v4：Rxh4 | 深度 5 | 2.01 秒
38. v3：Rxb7 | 深度 5 | 2.81 秒
38... v4：g5 | 深度 5 | 3.12 秒
39. v3：Ka3 | 深度 4 | 5.00 秒
39... v4：Rf4 | 深度 5 | 4.60 秒
40. v3：Rb6 | 深度 4 | 5.00 秒
40... v4：Rf6 | 深度 5 | 2.51 秒
41. v3：Rxf6 | 深度 4 | 5.00 秒
41... v4：Kxf6 | 深度 5 | 0.23 秒
42. v3：b4 | 深度 5 | 1.07 秒
42... v4：g4 | 深度 5 | 0.60 秒
43. v3：b5 | 深度 5 | 0.71 秒
43... v4：axb5 | 深度 5 | 0.42 秒
44. v3：axb5 | 深度 5 | 0.46 秒
44... v4：g3 | 深度 5 | 0.36 秒
45. v3：b6 | 深度 5 | 0.83 秒
45... v4：g2 | 深度 5 | 0.38 秒
46. v3：b7 | 深度 5 | 0.40 秒
46... v4：g1=Q | 深度 5 | 1.10 秒
47. v3：b8=Q | 深度 4 | 5.00 秒
47... v4：Qa1+ | 深度 5 | 1.70 秒
48. v3：Kb4 | 深度 5 | 3.08 秒
48... v4：Qb2+ | 深度 5 | 2.22 秒
49. v3：Kc4 | 深度 5 | 0.37 秒
49... v4：Qxb8 | 深度 5 | 1.55 秒
50. v3：Kd4 | 深度 5 | 1.72 秒
50... v4：Qb3 | 深度 5 | 4.88 秒
51. v3：Kc5 | 深度 5 | 0.82 秒
51... v4：Ke6 | 深度 5 | 3.33 秒
52. v3：Kc6 | 深度 5 | 1.03 秒
52... v4：f5 | 深度 5 | 3.45 秒
53. v3：Kc5 | 深度 5 | 0.98 秒
53... v4：f4 | 深度 5 | 3.03 秒
54. v3：Kc6 | 深度 5 | 0.91 秒
54... v4：f3 | 深度 5 | 3.11 秒
55. v3：Kc5 | 深度 5 | 1.10 秒
55... v4：f2 | 深度 5 | 3.42 秒
56. v3：Kc6 | 深度 5 | 1.30 秒
56... v4：f1=Q | 深度 4 | 5.00 秒
57. v3：Kc7 | 深度 5 | 1.23 秒
57... v4：Qfd1 | 深度 4 | 5.00 秒
58. v3：Kc6 | 深度 5 | 1.22 秒
58... v4：Qc1# | 深度 0 | 0.00 秒
本盘结果：0-1，原因：CHECKMATE
结果压缩包： C:\Users\maxw\chess_ai\arena_v3_v4_games\20260908_145249_016569\pair_10.zip

===== 比赛结束 =====
v4获胜： 1
v3获胜： 0
和棋： 0
达到步数上限未结束： 1
棋谱与搜索记录： C:\Users\maxw\chess_ai\arena_v3_v4_games\20260908_145249_016569\pair_10
